FarmerID,FullName,Gender,Age,Region,District,PhoneNumber,RegistrationDate
F150,Kojo Appiah,Male,39,Central,Cape Coast,507788901,12/06/2024
F151,Abena Amponsah,Female,28,Ashanti,Kumasi,546677802,13/06/2024
F152,Isaac Owusu,Male,35,Central,Agona Swedru,203344502,14/06/2024
F153,Akua Nyarko,Female,26,Eastern,Suhum,269988702,15/06/2024
F154,Kofi Boakye,Male,38,Bono East,Wenchi,551122302,16/06/2024
F155,Nana Ama,Female,24,Volta,Hohoe,204455602,17/06/2024
F156,Yaw Mensah,Male,41,Northern,Tamale,549988702,18/06/2024
F157,Adwoa Serwaa,Female,29,Ashanti,Obuasi,246655402,19/06/2024
F158,Emmanuel Adu,Male,37,Eastern,Koforidua,265544302,20/06/2024
F159,Akosua Owusuwaa,Female,27,Bono East,Atebubu,207766502,21/06/2024
F160,Samuel Baah,Male,39,Central,Twifo Praso,273344502,22/06/2024
F161,Esi Mensimah,Female,25,Ashanti,Mampong,503341202,23/06/2024
F162,Abdul Karim,Male,36,Northern,Gushegu,556677802,24/06/2024
F163,Abena Adjei,Female,30,Volta,Kpando,245544402,25/06/2024
F164,Kwame Darko,Male,43,Eastern,Asamankese,201122302,26/06/2024
F165,Akua Badu,Female,32,Bono East,Nsawkaw,267788003,27/06/2024
F166,Isaac Frimpong,Male,34,Ashanti,Bekwai,559988702,28/06/2024
F167,Ama Osei,Female,28,Central,Kasoa,204455302,29/06/2024
F168,Kwaku Appiah,Male,35,Volta,Aflao,546677802,30/06/2024
F169,Eunice Serwaa,Female,26,Northern,Yendi,505544302,01/07/2024
F170,Michael Kyei,Male,42,Eastern,Akim Oda,241122502,02/07/2024
F171,Afia Appiah,Female,31,Ashanti,Ejisu,268876502,03/07/2024
F172,Albert Mensah,Male,29,Bono East,Techiman,559988102,04/07/2024
F173,Akosua Asante,Female,27,Eastern,Nsawam,203344502,05/07/2024
F174,Kwesi Boadi,Male,38,Central,Elmina,544455602,06/07/2024
F175,Adjoa Owusuwaa,Female,25,Northern,Karaga,249998802,07/07/2024
F176,Yaw Addo,Male,41,Ashanti,Konongo,263322102,08/07/2024
F177,Nana Abena,Female,28,Bono East,Nkoranza,556677902,09/07/2024
F178,Samuel Ofori,Male,33,Eastern,New Juaben,202233402,10/07/2024
F179,Esi Aboagye,Female,32,Volta,Anloga,248899002,11/07/2024
F180,Kojo Antwi,Male,40,Central,Cape Coast,507788902,12/07/2024
F181,Abena Afriyie,Female,27,Ashanti,Kumasi,546677803,13/07/2024
F182,Isaac Amankwah,Male,36,Central,Agona Swedru,203344503,14/07/2024
F183,Akua Amponsah,Female,25,Eastern,Suhum,269988703,15/07/2024
F184,Kofi Asiedu,Male,39,Bono East,Wenchi,551122303,16/07/2024
F185,Nana Afia,Female,28,Volta,Hohoe,204455603,17/07/2024
F186,Yaw Owusu,Male,42,Northern,Tamale,549988703,18/07/2024
F187,Adwoa Appiah,Female,30,Ashanti,Obuasi,246655403,19/07/2024
F188,Emmanuel Tetteh,Male,37,Eastern,Koforidua,265544303,20/07/2024
F189,Akosua Asiedua,Female,26,Bono East,Atebubu,207766503,21/07/2024
F190,Samuel Owusu,Male,40,Central,Twifo Praso,273344503,22/07/2024
F191,Esi Adoma,Female,24,Ashanti,Mampong,503341203,23/07/2024
F192,Abdul Fatawu,Male,38,Northern,Gushegu,556677803,24/07/2024
F193,Abena Agyeman,Female,31,Volta,Kpando,245544403,25/07/2024
F194,Kwame Boateng,Male,45,Eastern,Asamankese,201122303,26/07/2024
F195,Akua Serwaa,Female,32,Bono East,Nsawkaw,267788004,27/07/2024
F196,Isaac Boadu,Male,35,Ashanti,Bekwai,559988703,28/07/2024
F197,Ama Nyarko,Female,28,Central,Kasoa,204455303,29/07/2024
F198,Kwaku Mensah,Male,34,Volta,Aflao,546677803,30/07/2024
F199,Eunice Owusu,Female,27,Northern,Yendi,505544303,31/07/2024
F200,Michael Addo,Male,43,Eastern,Akim Oda,241122503,01/08/2024
F201,Afia Serwaa,Female,31,Ashanti,Ejisu,268876503,02/08/2024
F202,Albert Antwi,Male,30,Bono East,Techiman,559988103,03/08/2024
F203,Akosua Owusuaa,Female,28,Eastern,Nsawam,203344503,04/08/2024
F204,Kwesi Frimpong,Male,39,Central,Elmina,544455603,05/08/2024
F205,Adjoa Adu,Female,25,Northern,Karaga,249998803,06/08/2024
F206,Yaw Bediako,Male,41,Ashanti,Konongo,263322103,07/08/2024
F207,Nana Akua,Female,27,Bono East,Nkoranza,556677903,08/08/2024
F208,Samuel Mensah,Male,33,Eastern,New Juaben,202233403,09/08/2024
F209,Esi Appiah,Female,32,Volta,Anloga,248899003,10/08/2024
F210,Kojo Asare,Male,40,Central,Cape Coast,507788903,11/08/2024
